name,club,position,age,goals,assists,transfer_value,log_transfer_value
Joe Rodon,Leeds United,Defence,28,0,0,18000000.0,16.705882371415992
Gabriel Gudmundsson,Leeds United,Defence,27,0,0,20000000.0,16.811242881518265
Jaka Bijol,Leeds United,Defence,27,0,0,20000000.0,16.811242881518265
Sean Longstaff,Leeds United,Midfield,28,0,0,15000000.0,16.52356082573315
Ethan Ampadu,Leeds United,Midfield,25,0,0,30000000.0,17.216707972959764
Ao Tanaka,Leeds United,Midfield,27,0,0,13000000.0,16.380459992348886
Anton Stach,Leeds United,Midfield,27,1,0,28000000.0,17.147715103853763
Ilia Gruev,Leeds United,Midfield,26,0,0,12000000.0,16.300417291085605
Brenden Aaronson,Leeds United,Midfield,25,0,0,22000000.0,16.906553056777135
Dominic Calvert-Lewin,Leeds United,Offence,29,1,0,22000000.0,16.906553056777135
Lukas Nmecha,Leeds United,Offence,27,0,0,10000000.0,16.118095750958314
Daniel James,Leeds United,Offence,28,0,0,10000000.0,16.118095750958314
Noah Okafor,Leeds United,Offence,26,0,0,25000000.0,17.034386422832473
Dara O'Shea,Ipswich Town,Defence,27,0,0,16000000.0,16.588099342704055
Jack Taylor,Ipswich Town,Midfield,28,0,0,3000000.0,14.914123179965662
Marcelino Núñez,Ipswich Town,Midfield,26,0,0,14000000.0,16.454567959008102
Kasey McAteer,Ipswich Town,Midfield,24,0,0,10000000.0,16.118095750958314
Matz Sels,Nottingham,Goalkeeper,34,0,0,3500000.0,15.068273812173887
Nikola Milenković,Nottingham,Defence,28,0,0,28000000.0,17.147715103853763
Ola Aina,Nottingham,Defence,29,0,0,18000000.0,16.705882371415992
Neco Williams,Nottingham,Defence,25,0,0,28000000.0,17.147715103853763
Nicolò Savona,Nottingham,Defence,23,0,0,15000000.0,16.52356082573315
